index,id,host_is_superhost,host_identity_verified,neighbourhood,neighbourhood_group_cleansed,latitude,longitude,accommodates,bed_type,price,cleaning_fee,guests_included,extra_people,review_scores_rating,instant_bookable,cancellation_policy,moderate,strict,private,size,stairless,luggage_dropoff,balcony,elevator,distance,loc
291,275472,0,0,Neukölln,Neukölln,52.478190000000005,13.439620000000001,4,1,70,60,1,35,85.0,0,strict,0,1,1,85,0,0,0,0,3.6382916231438274,Neukölln (nh)
298,282734,0,0,Charlottenburg,Charlottenburg-Wilm.,52.5173,13.297720000000002,2,1,38,50,1,0,98.0,1,flexible,0,0,1,100,0,0,0,1,7.382797214854757,Charlottenburg (nh)
299,282760,0,1,Kreuzberg,Friedrichshain-Kreuzberg,52.4965,13.42481,3,1,130,50,2,30,98.0,0,strict,0,1,1,100,1,1,0,0,1.5619489324294393,Kreuzberg (nh)
300,282773,0,0,Charlottenburg,Charlottenburg-Wilm.,52.51865,13.2962,2,1,55,40,1,0,89.0,1,flexible,0,0,1,100,0,0,0,1,7.516916336732635,Charlottenburg (nh)
301,282786,0,0,Charlottenburg,Charlottenburg-Wilm.,52.51655,13.296610000000001,2,1,53,30,1,0,85.0,1,flexible,0,0,1,100,0,0,0,1,7.438564788693275,Charlottenburg (nh)
302,282797,0,0,Charlottenburg,Charlottenburg-Wilm.,52.51841999999999,13.29585,2,1,38,50,1,0,88.0,1,flexible,0,0,1,100,0,0,0,1,7.53401670402548,Charlottenburg (nh)
303,292300,0,1,Mitte,Mitte,52.53075,13.39555,5,1,120,35,2,10,98.0,0,moderate,1,0,1,100,0,0,0,1,3.1643479549013493,Mitte (nh)
309,301773,0,1,Prenzlauer Berg,Pankow,52.5329,13.42622,2,1,64,35,1,10,96.0,0,strict,0,1,1,35,0,0,0,0,3.6664885150601476,Prenzlauer Berg (nh)
310,302167,0,1,Prenzlauer Berg,Pankow,52.53386,13.42755,4,1,66,35,1,15,96.0,0,strict,0,1,1,47,0,0,0,0,3.800808919905453,Prenzlauer Berg (nh)
311,303097,0,0,Prenzlauer Berg,Pankow,52.52944,13.427629999999999,2,1,66,25,1,10,96.0,0,flexible,0,0,0,20,0,0,0,1,3.362743375656845,Prenzlauer Berg (nh)
313,304904,1,1,Prenzlauer Berg,Pankow,52.55294,13.40448,2,1,37,15,1,8,99.0,0,moderate,1,0,0,18,0,1,0,0,5.577584823842323,Prenzlauer Berg (nh)
317,309511,0,0,Prenzlauer Berg,Pankow,52.53745,13.42728,2,1,65,0,1,0,98.0,0,moderate,1,0,1,45,0,0,0,0,4.160167278808629,Prenzlauer Berg (nh)
323,316327,1,0,Friedrichshain,Friedrichshain-Kreuzberg,52.513009999999994,13.46434,2,0,30,12,1,25,95.0,0,moderate,1,0,0,55,0,0,0,0,4.228144507245081,Friedrichshain (nh)
325,320028,0,0,Friedenau,Tempelhof - Schöneberg,52.47034,13.336770000000001,2,1,43,15,1,18,93.0,1,moderate,1,0,0,20,0,1,1,0,5.817199431636065,other
326,320279,1,0,Mitte,Mitte,52.532669999999996,13.406529999999998,2,1,77,55,2,20,96.0,0,strict,0,1,1,100,0,0,0,0,3.3274550088490216,Mitte (nh)
327,320305,0,1,Friedrichshain,Friedrichshain-Kreuzberg,52.51744,13.43315,2,1,38,15,1,10,93.0,0,moderate,1,0,0,21,0,0,0,1,2.5502473170042848,Friedrichshain (nh)
328,321295,1,0,Schöneberg,Tempelhof - Schöneberg,52.464009999999995,13.342429999999998,2,1,39,30,1,0,96.0,0,strict,0,1,1,30,0,0,0,0,6.005364977109361,Schöneberg (nh)
339,326566,0,1,Niederschönhausen,Pankow,52.582519999999995,13.41916,2,1,28,20,1,25,100.0,0,moderate,1,0,0,100,0,1,0,0,8.924455146760902,other
341,327442,0,0,Schöneberg,Tempelhof - Schöneberg,52.480709999999995,13.35484,2,1,35,0,1,0,93.0,0,flexible,0,0,0,26,0,0,0,0,4.144514582685139,Schöneberg (nh)
342,329648,0,1,Prenzlauer Berg,Pankow,52.55223,13.414660000000001,2,1,58,15,1,7,100.0,0,moderate,1,0,0,90,0,0,1,0,5.544199897603616,Prenzlauer Berg (nh)
343,334133,0,1,Mitte,Mitte,52.53641,13.40041,2,1,54,0,2,0,97.0,0,strict,0,1,1,35,0,0,0,0,3.748134564488249,Mitte (nh)
345,336482,0,0,Mitte,Mitte,52.52523000000001,13.406310000000001,2,1,95,45,2,50,94.0,0,moderate,1,0,1,80,0,1,0,0,2.5005264399177975,Mitte (nh)
348,344856,1,1,Friedrichshain,Friedrichshain-Kreuzberg,52.51321,13.45825,2,1,60,30,1,10,97.0,1,strict,0,1,1,50,0,0,0,0,3.839430754672255,Friedrichshain (nh)
349,344986,1,0,Prenzlauer Berg,Pankow,52.53695,13.42071,2,1,68,40,2,0,99.0,1,moderate,1,0,0,20,0,1,1,1,3.9609185676642698,Prenzlauer Berg (nh)
